ds,yhat,yhat_lower,yhat_upper
2022-05-08,35123.561917130726,30730.962201592083,39497.469198744104
2022-05-09,34744.41296971328,30646.960968031668,39066.371755372485
2022-05-10,34360.365724701216,29976.901741278987,38426.96784569937
2022-05-11,34044.89553961719,29750.69155695695,38558.71939626793
2022-05-12,33507.881171665074,28994.645109325884,37580.29496620842
2022-05-13,33103.81935683701,28951.304903341137,37539.107106930576
2022-05-14,32693.457712209896,28395.20114513713,37126.091698564895
2022-05-15,32278.362926483078,28206.68725604361,36391.580370788484
2022-05-16,31870.15350156517,27327.35616250933,35856.115893600865
2022-05-17,31477.87895058727,27232.804049426028,36302.36492491037
2022-05-18,31175.052067450335,26922.04205419547,35388.789146685696
2022-05-19,30671.10163636103,26404.946969441036,34766.24755813844
2022-05-20,30319.60580753232,26257.023016431336,34522.698789076
2022-05-21,29979.956115269637,25576.991381579614,34243.25026744422
2022-05-22,29651.968019456537,25531.88600327621,34239.2637641612
2022-05-23,29345.165852484057,25183.049534450376,33719.05390941464
2022-05-24,29066.222444015057,24695.749589689392,33462.43199002298
2022-05-25,28886.058204410394,24552.714429456268,33323.91957052751
2022-05-26,28511.365055706745,24287.236941885363,32806.9901329393
2022-05-27,28292.913370648417,23594.495603647425,32528.84486508881
2022-05-28,28087.289805008146,23961.113124309166,32439.472652133543
2022-05-29,27891.579848252884,23756.31862091017,32067.06094336856
2022-05-30,27712.721012226822,23615.18627488251,31948.947564701943
2022-05-31,27555.005115971046,22933.143507432178,31874.912801329447
2022-06-01,27487.232830902853,23051.697641104627,31542.275599276854
2022-06-02,27214.284499037996,22666.330082225497,31466.45240654518
2022-06-03,27085.464284027446,22651.89120143294,31607.05693830968
2022-06-04,26956.26474132801,22907.70569536996,31313.938251742147
2022-06-05,26823.065152526564,22644.542678927508,31029.164235191485
2022-06-06,26692.489389695555,22112.023541233953,31107.191448087095
2022-06-07,26601.42194494537,21989.44440084492,30774.804611034815
2022-06-08,26586.58573687684,22266.758084108274,30917.697150764583
2022-06-09,26353.64654934118,22079.979344851155,30514.750395098552
2022-06-10,26253.002128403714,22076.101271207823,30420.88640625372
2022-06-11,26141.50431984346,21687.613966893132,30256.8035523704
2022-06-12,26017.10903009718,21609.847994161533,30052.538427937114
2022-06-13,25888.181357865982,21444.329509048424,30203.77806185103
2022-06-14,25760.93619233618,21461.680243389277,29950.445340871876
2022-06-15,25706.51962668857,21187.748014622895,29891.844673641954
2022-06-16,25432.497658028115,21418.259505145772,29565.38888992674
2022-06-17,25291.11188658764,20786.882413220395,29512.759737957134
2022-06-18,25140.952064717527,20793.557064322194,29597.72866398279
2022-06-19,24981.561630810043,20761.267522595266,29312.5287177432
2022-06-20,24822.704725894997,20915.68537827978,29296.028204891536
2022-06-21,24671.775914111255,20481.535484685748,29174.753039450447
2022-06-22,24600.858632628,20614.16873589741,28682.621054353294
2022-06-23,24318.199255810145,19849.585902284754,28478.926117500127
2022-06-24,24176.456630322096,19912.371386720126,28640.50142269459
2022-06-25,24034.37680760441,19861.54000472902,28413.067313233176
2022-06-26,23891.408727136593,19665.572022450153,28292.46966871185
2022-06-27,23756.988726777075,19406.560062747223,27907.389059937137
2022-06-28,23637.974265432775,19488.952589013075,28136.550198588044
2022-06-29,23605.731864551337,19371.435416420118,28442.24380226656
2022-06-30,23367.644987612464,19300.45634088128,27716.545982302498
2022-07-01,23275.400442668557,19168.79481495065,27818.177852805726
2022-07-02,23186.701699849622,18881.49851066689,27464.50181449791
2022-07-03,23099.923524199086,18855.95186058794,27056.1323090128
2022-07-04,23023.4344727664,18712.698992090583,27276.942150873754
2022-07-05,22963.06638207209,18567.562288222,27115.710210917274
2022-07-06,22989.23470128617,18659.962195138854,27456.720569388333
2022-07-07,22808.474382620538,18574.10081345622,26898.670469246397
2022-07-08,22771.749080205696,18459.782038181947,27390.792883549206
2022-07-09,22736.18141372326,18342.142920221224,26833.155689617583
2022-07-10,22699.718277122494,18462.982186294445,26746.505387318997
2022-07-11,22670.457547107864,18107.1668807916,27236.889145112367
2022-07-12,22654.115351769025,18245.261916654337,27044.70684918633
2022-07-13,22721.13801258632,18115.279441778024,27025.12225238775
2022-07-14,22578.223840763796,18012.244982249293,26748.897129353034
2022-07-15,22576.613201232587,18317.53405573311,27090.46531767205
2022-07-16,22573.795430269358,17966.035773208496,26913.245216998952
2022-07-17,22568.147554011706,18221.285171598764,26888.70419227901
2022-07-18,22568.232232278453,18464.207777266965,26821.24798636742
2022-07-19,22580.235222949585,18101.505556877884,26987.543298982084
2022-07-20,22675.047640760116,18606.548081990702,27251.512507332238
2022-07-21,22559.759337857,18209.033579118466,26770.799065844498
2022-07-22,22585.922912483755,18069.094378153044,27219.82328971051
2022-07-23,22611.237934211807,18035.170444462517,27049.339706806597
2022-07-24,22634.481889836876,18435.60137382511,27036.31400736476
2022-07-25,22663.862604688493,18430.480110091183,27179.590435240654
2022-07-26,22705.379768025727,18779.77398967243,26988.67488384522
2022-07-27,22829.59439824349,18540.23581714918,27230.615598678825
2022-07-28,22743.126110313005,18651.23786946506,26897.116560103375
2022-07-29,22796.926941668775,18614.905388855514,27089.917862031238
2022-07-30,22847.98104324947,18472.964505153155,27174.099768634856
2022-07-31,22893.94557855986,18637.58586990073,27137.465616909616
2022-08-01,22942.460312055922,18720.568209821016,27593.487886084586
2022-08-02,22998.605898382644,18549.743091582957,27723.957854205782
